shipment_id,buyer_id,product_id,product_description,hs_code,quantity,unit_price,total_fob,incoterm,freight_cost,customs_status,drawback_amount,payment_status,days_to_payment,transit_time_days
SHIP_1022,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,666,7.83,5214.78,FOB,1893,cleared,104.3,received,17,36
SHIP_1023,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,887,7.89,6998.43,EXW,1196,cleared,139.97,received,17,24
SHIP_1024,B_USA_01,P004,Decorative Ceramic Vase,691310,564,11.95,6739.8,FOB,1978,cleared,134.8,received,26,31
SHIP_1025,B_GER_03,P002,Silk Scarf Premium,621410,208,22.63,4707.04,EXW,1111,cleared,94.14,received,50,31
SHIP_1026,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,256,7.76,1986.56,CIF,830,cleared,39.73,received,44,39
SHIP_1027,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,713,8.01,5711.13,CIF,1500,cleared,114.22,received,11,18
SHIP_1028,B_UAE_02,P003,Leather Handbag Genuine,420221,345,45.42,15669.9,FOB,993,cleared,313.4,received,46,17
SHIP_1029,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,597,5.25,3134.25,FOB,1590,cleared,62.69,received,18,19
SHIP_1030,B_GER_03,P004,Decorative Ceramic Vase,691310,269,12.13,3262.97,CIF,0,cleared,65.26,received,48,28
SHIP_1031,B_GER_03,P002,Silk Scarf Premium,621410,873,21.28,18577.44,EXW,1912,cleared,371.55,received,22,37
SHIP_1032,B_UAE_02,P003,Leather Handbag Genuine,420221,787,43.04,33872.48,EXW,1264,cleared,677.45,received,38,31
SHIP_1033,B_USA_01,P004,Decorative Ceramic Vase,691310,353,12.54,4426.62,FOB,631,cleared,88.53,received,31,15
SHIP_1034,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,335,8.37,2803.95,EXW,951,cleared,56.08,received,10,17
SHIP_1035,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,169,5.67,958.23,FOB,1176,cleared,19.16,received,14,31
SHIP_1036,B_UAE_02,P002,Silk Scarf Premium,621410,785,21.57,16932.45,CIF,938,cleared,338.65,received,44,19
SHIP_1037,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,584,7.68,4485.12,FOB,1468,cleared,89.7,received,36,21
SHIP_1038,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,774,5.6,4334.4,CIF,1225,cleared,86.69,received,37,28
SHIP_1039,B_GER_03,P004,Decorative Ceramic Vase,691310,155,11.93,1849.15,EXW,1838,cleared,36.98,received,16,16
SHIP_1040,B_GER_03,P004,Decorative Ceramic Vase,691310,447,11.55,5162.85,EXW,1500,cleared,103.26,received,22,21
SHIP_1041,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,243,8.0,1944.0,CIF,875,cleared,38.88,received,27,29
SHIP_1042,B_USA_01,P002,Silk Scarf Premium,621410,553,20.98,11601.94,EXW,700,cleared,232.04,received,13,35
SHIP_1043,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,195,8.33,1624.35,FOB,840,cleared,32.49,received,36,30
SHIP_1044,B_USA_01,P004,Decorative Ceramic Vase,691310,985,11.71,11534.35,CIF,620,cleared,230.69,received,20,27
SHIP_1045,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,371,5.59,2073.89,CIF,1084,cleared,41.48,received,37,37
SHIP_1046,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,835,7.85,6554.75,CIF,817,cleared,131.09,received,22,24
SHIP_1047,B_USA_01,P002,Silk Scarf Premium,621410,693,22.04,15273.72,EXW,1610,cleared,305.47,received,13,38
SHIP_1048,B_USA_01,P003,Leather Handbag Genuine,420221,151,45.21,6826.71,EXW,1476,cleared,136.53,received,42,31
SHIP_1049,B_USA_01,P002,Silk Scarf Premium,621410,620,21.31,13212.2,FOB,880,cleared,264.24,received,14,34
SHIP_1050,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,982,5.76,5656.32,FOB,1326,rejected,500.0,received,17,33
SHIP_1051,B_GER_03,P002,Silk Scarf Premium,621410,708,22.61,16007.88,FOB,1768,cleared,320.16,received,15,28
SHIP_1052,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,635,8.35,5302.25,CIF,1034,cleared,106.05,received,23,36
SHIP_1053,B_USA_01,P003,Leather Handbag Genuine,420221,371,46.78,17355.38,CIF,768,cleared,347.11,received,29,29
SHIP_1054,B_USA_01,P003,Leather Handbag Genuine,420221,109,45.44,4952.96,CIF,1772,cleared,99.06,received,46,18
SHIP_1055,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,318,5.73,1822.14,EXW,1043,cleared,36.44,received,18,26
SHIP_1056,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,478,5.27,2519.06,CIF,823,cleared,50.38,received,38,32
SHIP_1057,B_GER_03,P003,Leather Handbag Genuine,420221,926,43.63,40401.38,EXW,1583,cleared,808.03,received,10,36
SHIP_1058,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,779,7.64,5951.56,FOB,775,cleared,119.03,received,26,18
SHIP_1059,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,666,5.4,3596.4,FOB,1057,cleared,71.93,received,28,34
SHIP_1060,B_GER_03,P002,Silk Scarf Premium,621410,451,21.76,9813.76,FOB,1907,rejected,500.0,received,50,23
SHIP_1061,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,357,7.82,2791.74,FOB,689,cleared,55.83,received,50,28
SHIP_1062,B_USA_01,P003,Leather Handbag Genuine,420221,103,46.48,4787.44,CIF,767,cleared,95.75,received,50,23
SHIP_1063,B_GER_03,P002,Silk Scarf Premium,621410,552,21.68,11967.36,EXW,1945,cleared,239.35,received,37,32
SHIP_1064,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,177,5.38,952.26,EXW,805,cleared,19.05,received,44,16
SHIP_1065,B_GER_03,P003,Leather Handbag Genuine,420221,665,45.19,30051.35,FOB,1380,cleared,601.03,received,18,16
SHIP_1066,B_UAE_02,P003,Leather Handbag Genuine,420221,915,43.38,39692.7,FOB,1232,cleared,793.85,received,23,36
SHIP_1067,B_GER_03,P002,Silk Scarf Premium,621410,205,22.66,4645.3,CIF,1646,cleared,92.91,received,36,34
SHIP_1068,B_USA_01,P002,Silk Scarf Premium,621410,985,21.06,20744.1,FOB,862,cleared,414.88,received,36,15
SHIP_1069,B_GER_03,P002,Silk Scarf Premium,621410,440,23.07,10150.8,CIF,1871,cleared,203.02,received,25,23
SHIP_1070,B_GER_03,P002,Silk Scarf Premium,621410,210,250.0,52500.0,CIF,579,cleared,94.92,received,40,22
SHIP_1071,B_UAE_02,P002,Silk Scarf Premium,621410,458,21.34,9773.72,CIF,966,cleared,195.47,received,24,15
SHIP_1072,B_UAE_02,P002,Silk Scarf Premium,621410,436,20.91,9116.76,CIF,642,cleared,182.34,received,27,26
SHIP_1073,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,795,8.25,6558.75,EXW,1178,cleared,131.18,received,11,18
SHIP_1074,B_USA_01,P003,Leather Handbag Genuine,420221,694,45.93,31875.42,CIF,578,cleared,637.51,received,16,34
SHIP_1075,B_UAE_02,P004,Decorative Ceramic Vase,691310,846,12.27,10380.42,CIF,1393,cleared,207.61,received,48,31
SHIP_1076,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,690,5.65,3898.5,FOB,1021,cleared,77.97,received,12,37
SHIP_1077,B_USA_01,P004,Decorative Ceramic Vase,691310,632,11.49,7261.68,EXW,1906,cleared,145.23,received,22,26
SHIP_1078,B_USA_01,P004,Decorative Ceramic Vase,691310,780,11.83,9227.4,CIF,1776,cleared,184.55,received,30,36
SHIP_1079,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,407,5.29,2153.03,EXW,1133,cleared,43.06,received,36,25
SHIP_1080,B_GER_03,P004,Decorative Ceramic Vase,691310,402,0.5,201.0,EXW,760,cleared,100.02,received,22,28
SHIP_1081,B_GER_03,P004,Decorative Ceramic Vase,691310,866,12.15,10521.9,FOB,1760,cleared,210.44,received,46,24
SHIP_1082,B_GER_03,P004,Decorative Ceramic Vase,691310,953,11.8,11245.4,FOB,1122,cleared,224.91,received,28,21
SHIP_1083,B_GER_03,P004,Decorative Ceramic Vase,691310,721,11.48,8277.08,EXW,1159,cleared,165.54,received,39,29
SHIP_1084,B_GER_03,P004,Decorative Ceramic Vase,691310,318,11.77,3742.86,EXW,1469,cleared,74.86,received,20,36
SHIP_1085,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,627,5.4,3385.8,EXW,1796,cleared,67.72,received,49,25
SHIP_1086,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,788,5.63,4436.44,CIF,960,cleared,88.73,received,22,19
SHIP_1087,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,350,5.58,1953.0,CIF,1751,cleared,39.06,received,14,29
SHIP_1088,B_GER_03,P004,Decorative Ceramic Vase,691310,689,12.46,8584.94,FOB,1971,cleared,171.7,received,34,30
SHIP_1089,B_USA_01,P004,Decorative Ceramic Vase,691310,251,11.97,3004.47,EXW,1908,cleared,60.09,received,10,39
SHIP_1090,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,847130,324,5.29,1713.96,FOB,1925,cleared,34.28,received,43,29
SHIP_1091,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,355,5.62,1995.1,FOB,1434,cleared,39.9,received,18,40
SHIP_1092,B_GER_03,P004,Decorative Ceramic Vase,691310,643,12.31,7915.33,EXW,1719,cleared,158.31,received,30,39
SHIP_1093,B_GER_03,P004,Decorative Ceramic Vase,691310,934,12.07,11273.38,EXW,1533,cleared,225.47,received,37,32
SHIP_1094,B_USA_01,P004,Decorative Ceramic Vase,691310,861,12.33,10616.13,CIF,1421,cleared,212.32,received,26,39
SHIP_1095,B_GER_03,P002,Silk Scarf Premium,621410,383,21.99,8422.17,EXW,1492,cleared,168.44,received,50,22
SHIP_1096,B_UAE_02,P003,Leather Handbag Genuine,420221,179,45.1,8072.9,EXW,1085,cleared,161.46,received,25,23
SHIP_1097,B_UAE_02,P003,Leather Handbag Genuine,420221,653,44.67,29169.51,FOB,783,cleared,583.39,received,19,22
SHIP_1098,B_GER_03,P004,Decorative Ceramic Vase,691310,256,11.43,2926.08,EXW,938,cleared,58.52,received,14,28
SHIP_1099,B_UAE_02,P004,Decorative Ceramic Vase,691310,655,11.53,7552.15,CIF,1351,cleared,151.04,received,13,21
SHIP_1100,B_UAE_02,P003,Leather Handbag Genuine,100630,888,11.44,10158.72,EXW,1924,cleared,203.17,received,11,39
SHIP_1101,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,588,8.11,4768.68,FOB,1220,cleared,95.37,received,29,39
SHIP_1102,B_UAE_02,P004,Decorative Ceramic Vase,691310,651,11.78,7668.78,EXW,1618,cleared,153.38,received,48,22
SHIP_1103,B_USA_01,P004,Decorative Ceramic Vase,691310,379,12.01,4551.79,CIF,1494,cleared,91.04,received,11,27
SHIP_1104,B_GER_03,P003,Leather Handbag Genuine,420221,795,46.83,37229.85,CIF,1983,cleared,744.6,received,20,29
SHIP_1105,B_GER_03,P002,Silk Scarf Premium,621410,646,21.45,13856.7,FOB,1306,cleared,277.13,received,47,33
SHIP_1106,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,758,5.45,4131.1,CIF,777,cleared,82.62,received,39,20
SHIP_1107,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,488,5.64,2752.32,CIF,933,cleared,55.05,received,39,25
SHIP_1108,B_UAE_02,P003,Leather Handbag Genuine,420221,384,43.78,16811.52,CIF,1016,cleared,336.23,received,15,30
SHIP_1109,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,652,5.27,3436.04,FOB,1216,cleared,68.72,received,24,35
SHIP_1110,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,141,5.38,758.58,FOB,1006,cleared,15.17,received,120,15
SHIP_1111,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,344,7.73,2659.12,FOB,1469,cleared,53.18,received,17,33
SHIP_1112,B_UAE_02,P002,Silk Scarf Premium,621410,816,22.95,18727.2,CIF,1255,cleared,374.54,received,20,34
SHIP_1113,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,835,8.25,6888.75,FOB,835,cleared,137.78,received,29,18
SHIP_1114,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,419,8.11,3398.09,EXW,1887,cleared,67.96,received,34,27
SHIP_1115,B_USA_01,P002,Silk Scarf Premium,621410,706,22.82,16110.92,EXW,1784,cleared,322.22,received,25,18
SHIP_1116,B_GER_03,P003,Leather Handbag Genuine,420221,714,46.37,33108.18,FOB,1659,cleared,662.16,received,12,26
SHIP_1117,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,777,7.75,6021.75,CIF,641,cleared,120.44,received,42,35
SHIP_1118,B_USA_01,P003,Leather Handbag Genuine,420221,969,46.77,45320.13,CIF,1503,cleared,906.4,received,16,28
SHIP_1119,B_GER_03,P003,Leather Handbag Genuine,420221,948,45.18,42830.64,CIF,1948,cleared,856.61,received,19,28
SHIP_1120,B_GER_03,P002,Silk Scarf Premium,621410,634,22.68,14379.12,EXW,1053,cleared,287.58,received,49,90
SHIP_1121,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,576,8.32,4792.32,CIF,1997,cleared,95.85,received,47,23
SHIP_1122,B_USA_01,P003,Leather Handbag Genuine,420221,950,44.18,41971.0,FOB,1071,cleared,839.42,received,38,22
SHIP_1123,B_GER_03,P004,Decorative Ceramic Vase,691310,724,11.53,8347.72,EXW,1276,cleared,166.95,received,31,15
SHIP_1124,B_UAE_02,P004,Decorative Ceramic Vase,691310,286,11.67,3337.62,CIF,934,cleared,66.75,received,32,40
SHIP_1125,B_UAE_02,P003,Leather Handbag Genuine,420221,386,44.67,17242.62,EXW,1936,cleared,344.85,received,27,32
SHIP_1126,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,295,5.67,1672.65,FOB,994,cleared,33.45,received,36,30
SHIP_1127,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,807,8.29,6690.03,CIF,1822,cleared,133.8,received,41,29
SHIP_1128,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,401,5.23,2097.23,FOB,1328,cleared,41.94,received,25,24
SHIP_1129,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,584,8.01,4677.84,EXW,1587,cleared,93.56,received,32,28
SHIP_1130,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,460,7.93,3647.8,EXW,1429,cleared,72.96,received,27,24
SHIP_1131,B_USA_01,P003,Leather Handbag Genuine,420221,223,43.75,9756.25,EXW,894,cleared,195.12,received,30,18
SHIP_1132,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,289,7.7,2225.3,FOB,943,cleared,44.51,received,40,23
SHIP_1133,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,711,7.87,5595.57,CIF,705,cleared,111.91,received,22,24
SHIP_1134,B_UAE_02,P002,Silk Scarf Premium,621410,283,22.97,6500.51,CIF,528,cleared,130.01,received,44,19
SHIP_1135,B_USA_01,P003,Leather Handbag Genuine,420221,155,44.2,6851.0,EXW,1098,cleared,137.02,received,18,35
SHIP_1136,B_USA_01,P004,Decorative Ceramic Vase,691310,993,12.02,11935.86,FOB,1675,cleared,238.72,received,28,30
SHIP_1137,B_UAE_02,P004,Decorative Ceramic Vase,691310,448,12.24,5483.52,FOB,605,cleared,109.67,received,26,30
SHIP_1138,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,510,5.42,2764.2,CIF,651,cleared,55.28,received,46,35
SHIP_1139,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,252,5.76,1451.52,EXW,1122,cleared,29.03,received,15,22
SHIP_1140,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,882,5.75,5071.5,CIF,1741,cleared,101.43,received,48,40
SHIP_1141,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,894,7.8,6973.2,EXW,1279,cleared,139.46,received,38,29
SHIP_1142,B_GER_03,P003,Leather Handbag Genuine,420221,539,44.99,24249.61,CIF,1664,cleared,484.99,received,49,16
SHIP_1143,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,201,7.84,1575.84,FOB,1781,cleared,31.52,received,23,23
SHIP_1144,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,345,5.38,1856.1,FOB,1630,cleared,37.12,received,14,20
SHIP_1145,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,561,5.25,2945.25,EXW,1716,cleared,58.91,received,40,24
SHIP_1146,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,395,5.56,2196.2,EXW,1079,cleared,43.92,received,39,17
SHIP_1147,B_UAE_02,P002,Silk Scarf Premium,621410,906,22.01,19941.06,EXW,1707,cleared,398.82,received,22,28
SHIP_1148,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,330,5.25,1732.5,EXW,805,cleared,34.65,received,27,19
SHIP_1149,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,269,5.38,1447.22,CIF,1718,cleared,28.94,received,46,24
SHIP_1150,B_USA_01,P004,Decorative Ceramic Vase,691310,579,12.49,7231.71,EXW,1122,cleared,144.63,received,35,23
SHIP_1151,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,605,7.79,4712.95,CIF,664,cleared,94.26,received,48,16
SHIP_1152,B_GER_03,P004,Decorative Ceramic Vase,691310,430,11.57,4975.1,EXW,1012,cleared,99.5,received,11,17
SHIP_1153,B_GER_03,P002,Silk Scarf Premium,621410,956,21.98,21012.88,EXW,1702,cleared,420.26,received,11,39
SHIP_1154,B_GER_03,P003,Leather Handbag Genuine,420221,141,47.19,6653.79,FOB,1463,cleared,133.08,received,43,35
SHIP_1155,B_UAE_02,P004,Decorative Ceramic Vase,691310,285,11.69,3331.65,EXW,1392,cleared,66.63,received,50,30
SHIP_1156,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,456,5.59,2549.04,CIF,1182,cleared,50.98,received,30,36
SHIP_1157,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,437,5.64,2464.68,CIF,1920,cleared,49.29,received,41,24
SHIP_1158,B_GER_03,P004,Decorative Ceramic Vase,691310,137,11.69,1601.53,CIF,680,cleared,32.03,received,30,23
SHIP_1159,B_USA_01,P003,Leather Handbag Genuine,420221,891,46.03,41012.73,CIF,1553,cleared,820.25,received,10,36
SHIP_1160,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,523,7.89,4126.47,FOB,884,cleared,82.53,received,43,26
SHIP_1161,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,740,8.11,6001.4,CIF,605,cleared,120.03,received,23,23
SHIP_1162,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,394,8.11,3195.34,CIF,1930,cleared,63.91,received,41,18
SHIP_1163,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,723,5.52,3990.96,FOB,1953,cleared,79.82,received,20,24
SHIP_1164,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,665,7.67,5100.55,CIF,690,cleared,102.01,received,24,18
SHIP_1165,B_USA_01,P004,Decorative Ceramic Vase,691310,763,12.4,9461.2,FOB,1520,cleared,189.22,received,28,31
SHIP_1166,B_UAE_02,P003,Leather Handbag Genuine,420221,954,44.19,42157.26,CIF,1467,cleared,843.15,received,25,29
SHIP_1167,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,492,7.75,3813.0,FOB,1727,cleared,76.26,received,42,38
SHIP_1168,B_USA_01,P002,Silk Scarf Premium,621410,382,20.99,8018.18,CIF,1196,cleared,160.36,received,42,23
SHIP_1169,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,843,5.55,4678.65,CIF,1702,cleared,93.57,received,47,36
SHIP_1170,B_USA_01,P004,Decorative Ceramic Vase,691310,557,12.21,6800.97,EXW,1491,cleared,136.02,received,32,25
SHIP_1171,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,486,7.61,3698.46,CIF,1159,cleared,73.97,received,22,37
SHIP_1172,B_GER_03,P002,Silk Scarf Premium,621410,492,22.03,10838.76,FOB,1341,cleared,216.78,received,12,25
SHIP_1173,B_GER_03,P004,Decorative Ceramic Vase,691310,930,11.67,10853.1,CIF,1290,cleared,217.06,received,19,30
SHIP_1174,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,614,5.58,3426.12,EXW,1179,cleared,68.52,received,16,29
SHIP_1175,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,567,5.32,3016.44,FOB,1979,cleared,60.33,received,19,28
SHIP_1176,B_USA_01,P002,Silk Scarf Premium,621410,580,22.42,13003.6,CIF,1193,cleared,260.07,received,49,37
SHIP_1177,B_GER_03,P004,Decorative Ceramic Vase,691310,182,11.86,2158.52,CIF,1881,cleared,43.17,received,44,27
SHIP_1178,B_GER_03,P003,Leather Handbag Genuine,420221,835,46.97,39219.95,CIF,1608,cleared,784.4,received,12,34
SHIP_1179,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,746,5.3,3953.8,EXW,1088,cleared,79.08,received,24,38
SHIP_1180,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,200,5.41,1082.0,EXW,1941,cleared,21.64,received,16,29
SHIP_1181,B_GER_03,P002,Silk Scarf Premium,621410,406,21.15,8586.9,FOB,594,cleared,171.74,received,30,40
SHIP_1182,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,467,5.73,2675.91,CIF,1382,cleared,53.52,received,19,22
SHIP_1183,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,679,8.3,5635.7,EXW,868,cleared,112.71,received,20,20
SHIP_1184,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,991,5.37,5321.67,CIF,1769,cleared,106.43,received,25,30
SHIP_1185,B_USA_01,P005,Basmati Rice 5kg Export Grade,100630,337,8.13,2739.81,CIF,1806,cleared,54.8,received,26,29
SHIP_1186,B_GER_03,P003,Leather Handbag Genuine,420221,109,46.43,5060.87,CIF,1089,cleared,101.22,received,44,20
SHIP_1187,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,453,5.53,2505.09,EXW,1112,cleared,50.1,received,50,28
SHIP_1188,B_UAE_02,P003,Leather Handbag Genuine,420221,965,45.13,43550.45,CIF,907,cleared,871.01,received,34,30
SHIP_1189,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,490,5.36,2626.4,EXW,1235,cleared,52.53,received,46,24
SHIP_1190,B_USA_01,P003,Leather Handbag Genuine,420221,949,43.17,40968.33,EXW,1310,cleared,819.37,received,27,15
SHIP_1191,B_GER_03,P005,Basmati Rice 5kg Export Grade,100630,896,8.32,7454.72,EXW,600,cleared,149.09,received,48,38
SHIP_1192,B_UAE_02,P004,Decorative Ceramic Vase,691310,894,12.48,11157.12,FOB,1743,cleared,223.14,received,32,22
SHIP_1193,B_GER_03,P002,Silk Scarf Premium,621410,356,22.29,7935.24,EXW,1976,cleared,158.7,received,18,35
SHIP_1194,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,761,5.41,4117.01,FOB,1132,cleared,82.34,received,38,16
SHIP_1195,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,849,7.88,6690.12,FOB,684,cleared,133.8,received,28,25
SHIP_1196,B_USA_01,P004,Decorative Ceramic Vase,691310,305,12.27,3742.35,FOB,1604,cleared,74.85,received,33,31
SHIP_1197,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,950,8.32,7904.0,FOB,1026,cleared,158.08,received,40,40
SHIP_1198,B_GER_03,P003,Leather Handbag Genuine,420221,991,46.74,46319.34,CIF,735,cleared,926.39,received,39,17
SHIP_1199,B_USA_01,P002,Silk Scarf Premium,621410,980,22.62,22167.6,EXW,1983,cleared,443.35,received,35,40
SHIP_1200,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,192,8.11,1557.12,CIF,528,cleared,31.14,received,26,32
SHIP_1201,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,477,5.27,2513.79,EXW,1876,cleared,50.28,received,26,33
SHIP_1202,B_GER_03,P004,Decorative Ceramic Vase,691310,480,11.59,5563.2,FOB,1882,cleared,111.26,received,24,30
